index,name,role,age,market_value,nationality,from_club,from_league,to_club,to_league,transfer_values
192,Léo Dubois,Right-Back,23,"10,00 Mill. €",France,FC Nantes,Ligue 1,Olympique Lyon,Ligue 1,Free Transfer
193,Lukas Hradecky,Goalkeeper,28,"10,00 Mill. €",Finland,E. Frankfurt,1.Bundesliga,Bay. Leverkusen,1.Bundesliga,Free Transfer
194,Andrés Iniesta,Central Midfield,34,"10,00 Mill. €",Spain,FC Barcelona,LaLiga,Vissel Kobe,J1 League,Free Transfer
195,Carles Aleñá,Central Midfield,20,"10,00 Mill. €",Spain,FC Barcelona B,2ª B - Grupo III,FC Barcelona,LaLiga,-
196,Pablo Maffeo,Right-Back,21,"10,00 Mill. €",Spain,Man City U23,Premier League 2,VfB Stuttgart,1.Bundesliga,"9,00 Mill. €"
197,Kevin Wimmer,Centre-Back,25,"10,00 Mill. €",Austria,Stoke City,Championship,Hannover 96,1.Bundesliga,"Loan fee:1,50 Mill. €"
198,Danilo,Defensive Midfield,22,"7,00 Mill. €",Brazil,Braga,Liga NOS,OGC Nice,Ligue 1,"10,00 Mill. €"
199,Ramiro Funes Mori,Centre-Back,27,"10,00 Mill. €",Argentina,Everton,Premier League,Villarreal CF,LaLiga,"9,00 Mill. €"
200,Nicolas N'Koulou,Centre-Back,28,"10,00 Mill. €",Cameroon,Olympique Lyon,Ligue 1,Torino,Serie A,"3,50 Mill. €"
201,Marius Wolf,Right Winger,23,"10,00 Mill. €",Germany,E. Frankfurt,1.Bundesliga,Bor. Dortmund,1.Bundesliga,"5,00 Mill. €"
202,Benik Afobe,Centre-Forward,25,"10,00 Mill. €",DR Congo,Wolves,Premier League,Stoke City,Championship,Loan
203,Omar Mascarell,Defensive Midfield,25,"8,00 Mill. €",Spain,Real Madrid,LaLiga,FC Schalke 04,1.Bundesliga,"10,00 Mill. €"
204,Yohan Cabaye,Central Midfield,32,"10,00 Mill. €",France,Crystal Palace,Premier League,Al-Nasr,UAE Gulf League,Free Transfer
205,Valon Berisha,Central Midfield,25,"10,00 Mill. €",Kosovo,RB Salzburg,Bundesliga,Lazio,Serie A,"7,50 Mill. €"
206,Federico Di Francesco,Right Winger,24,"3,50 Mill. €",Italy,Bologna,Serie A,Sassuolo,Serie A,"10,00 Mill. €"
207,Diego Falcinelli,Centre-Forward,27,"3,80 Mill. €",Italy,Sassuolo,Serie A,Bologna,Serie A,"10,00 Mill. €"
208,Bernardo,Left-Back,23,"6,00 Mill. €",Brazil,RB Leipzig,1.Bundesliga,Brighton,Premier League,"10,00 Mill. €"
209,Pelé,Defensive Midfield,26,"4,00 Mill. €",Guinea-Bissau,Rio Ave FC,Liga NOS,Monaco,Ligue 1,"10,00 Mill. €"
210,Borja Iglesias,Centre-Forward,25,"1,00 Mill. €",Spain,Celta de Vigo,LaLiga,Espanyol,LaLiga,"10,00 Mill. €"
211,Wayne Rooney,Second Striker,32,"10,00 Mill. €",England,Everton,Premier League,D.C. United,MLS,Free Transfer
212,Antonio Barreca,Left-Back,23,"3,50 Mill. €",Italy,Torino,Serie A,Monaco,Ligue 1,"10,00 Mill. €"
213,Soualiho Meïté,Defensive Midfield,24,"8,00 Mill. €",France,Monaco,Ligue 1,Torino,Serie A,"10,00 Mill. €"
214,Francesco Acerbi,Centre-Back,30,"10,00 Mill. €",Italy,Sassuolo,Serie A,Lazio,Serie A,"10,00 Mill. €"
215,Henry Onyekuru,Left Winger,21,"10,00 Mill. €",Nigeria,Everton,Premier League,Galatasaray,Süper Lig,Loan fee:800 Th. €
216,Ramires,Central Midfield,31,"10,00 Mill. €",Brazil,JS Suning,Super League,JS Suning Res.,JS Suning Res.,-
217,Santiago Cáseres,Defensive Midfield,21,"6,00 Mill. €",Argentina,Vélez Sarsfield,Primera División,Villarreal CF,LaLiga,"10,00 Mill. €"
218,Wahbi Khazri,Attacking Midfield,27,"10,00 Mill. €",Tunisia,Sunderland,League One,Saint-Étienne,Ligue 1,"7,00 Mill. €"
219,Adama Diakhaby,Centre-Forward,22,"5,00 Mill. €",France,Monaco,Ligue 1,Huddersfield,Premier League,"10,00 Mill. €"
220,Gerson,Central Midfield,21,"10,00 Mill. €",Brazil,AS Roma,Serie A,Fiorentina,Serie A,Loan
221,João Moutinho,Central Midfield,31,"10,00 Mill. €",Portugal,Monaco,Ligue 1,Wolves,Premier League,"5,60 Mill. €"
222,Grégoire Defrel,Centre-Forward,27,"10,00 Mill. €",France,AS Roma,Serie A,Sampdoria,Serie A,"Loan fee:1,50 Mill. €"
223,Vitinho,Second Striker,24,"8,00 Mill. €",Brazil,CSKA Moscow,Premier Liga,Flamengo,Série A,"10,00 Mill. €"
224,Dwight Gayle,Centre-Forward,27,"10,00 Mill. €",England,Newcastle,Premier League,West Brom,Championship,Loan
225,Joe Hart,Goalkeeper,31,"10,00 Mill. €",England,Man City,Premier League,Burnley,Premier League,"3,90 Mill. €"
226,Myziane Maolida,Centre-Forward,19,"4,50 Mill. €",France,Olympique Lyon,Ligue 1,OGC Nice,Ligue 1,"10,00 Mill. €"
227,Roberto Inglese,Centre-Forward,26,"10,00 Mill. €",Italy,SSC Napoli,Serie A,Parma,Serie A,"Loan fee:3,00 Mill. €"
228,Marlon,Centre-Back,22,"10,00 Mill. €",Brazil,FC Barcelona,LaLiga,Sassuolo,Serie A,"6,00 Mill. €"
229,Carlos Bacca,Centre-Forward,31,"10,00 Mill. €",Colombia,AC Milan,Serie A,Villarreal CF,LaLiga,"7,00 Mill. €"
230,Gabriel,Attacking Midfield,24,"10,00 Mill. €",Brazil,CD Leganés,LaLiga,Benfica,Liga NOS,"10,00 Mill. €"
231,Davide Santon,Left-Back,27,"3,00 Mill. €",Italy,Inter,Serie A,AS Roma,Serie A,"9,50 Mill. €"
232,Riccardo Saponara,Attacking Midfield,26,"9,00 Mill. €",Italy,FC Empoli,Serie A,Fiorentina,Serie A,"9,00 Mill. €"
233,Valentino Lazaro,Right Winger,22,"9,00 Mill. €",Austria,RB Salzburg,Bundesliga,Hertha BSC,1.Bundesliga,"6,50 Mill. €"
234,Khouma Babacar,Centre-Forward,25,"8,00 Mill. €",Senegal,Fiorentina,Serie A,Sassuolo,Serie A,"9,00 Mill. €"
235,Facundo Ferreyra,Centre-Forward,27,"9,00 Mill. €",Argentina,Shakhtar D.,Premier Liga,Benfica,Liga NOS,Free Transfer
236,Jordan Siebatcheu,Centre-Forward,22,"2,50 Mill. €",France,Reims,Ligue 1,Stade Rennais,Ligue 1,"9,00 Mill. €"
237,Lukasz Skorupski,Goalkeeper,27,"7,00 Mill. €",Poland,AS Roma,Serie A,Bologna,Serie A,"9,00 Mill. €"
238,Antonino La Gumina,Centre-Forward,22,"2,00 Mill. €",Italy,US Palermo,Serie B,FC Empoli,Serie A,"9,00 Mill. €"
239,Roger Guedes,Right Winger,21,"9,00 Mill. €",Brazil,Palmeiras,Série A,SD Luneng,Super League,Loan
240,Andrea Petagna,Centre-Forward,23,"9,00 Mill. €",Italy,Atalanta,Serie A,SPAL,Serie A,"Loan fee:3,00 Mill. €"
241,Benedikt Höwedes,Centre-Back,30,"9,00 Mill. €",Germany,FC Schalke 04,1.Bundesliga,Loko Moscow,Premier Liga,"5,00 Mill. €"
242,Rémy Cabella,Attacking Midfield,28,"9,00 Mill. €",France,Marseille,Ligue 1,Saint-Étienne,Ligue 1,"5,00 Mill. €"
243,Riccardo Saponara,Attacking Midfield,26,"9,00 Mill. €",Italy,Fiorentina,Serie A,Sampdoria,Serie A,"Loan fee:2,00 Mill. €"
244,Nikola Vukcevic,Defensive Midfield,26,"5,00 Mill. €",Montenegro,Braga,Liga NOS,Levante UD,LaLiga,"8,90 Mill. €"
245,Guido Pizarro,Defensive Midfield,28,"7,50 Mill. €",Argentina,Sevilla FC,LaLiga,Tigres UANL,Liga MX Apertura,"8,70 Mill. €"
246,Keno,Left Winger,28,"3,50 Mill. €",Brazil,Palmeiras,Série A,Pyramids FC,Premier League,"8,60 Mill. €"
247,Andriy Lunin,Goalkeeper,19,"3,50 Mill. €",Ukraine,Zorya Lugansk,Premier Liga,Real Madrid,LaLiga,"8,50 Mill. €"
248,Roger Martínez,Centre-Forward,24,"2,50 Mill. €",Colombia,Villarreal CF,LaLiga,América,Liga MX Apertura,"8,50 Mill. €"
249,Armando Izzo,Centre-Back,26,"8,50 Mill. €",Italy,Genoa,Serie A,Torino,Serie A,"8,00 Mill. €"
250,Nicólas González,Centre-Forward,20,"5,00 Mill. €",Argentina,Argentinos,Primera División,VfB Stuttgart,1.Bundesliga,"8,50 Mill. €"
251,Silvan Widmer,Right-Back,25,"8,50 Mill. €",Switzerland,Udinese Calcio,Serie A,FC Basel,Super League,"4,50 Mill. €"
252,Nordin Amrabat,Left Winger,31,"3,00 Mill. €",Morocco,Watford,Premier League,Al-Nassr,Professional League,"8,50 Mill. €"
253,Robin Olsen,Goalkeeper,28,"2,50 Mill. €",Sweden,FC Copenhagen,Superligaen,AS Roma,Serie A,"8,50 Mill. €"
254,Kasim Adams,Centre-Back,23,"8,50 Mill. €",Ghana,BSC Young Boys,Super League,TSG Hoffenheim,1.Bundesliga,"8,00 Mill. €"
255,Aleix Vidal,Right-Back,29,"7,50 Mill. €",Spain,FC Barcelona,LaLiga,Sevilla FC,LaLiga,"8,50 Mill. €"
256,Samuel Kalu,Right Winger,21,"5,00 Mill. €",Nigeria,KAA Gent,Jupiler Pro League,G. Bordeaux,Ligue 1,"8,50 Mill. €"
257,Andriy Lunin,Goalkeeper,19,"8,50 Mill. €",Ukraine,Real Madrid,LaLiga,CD Leganés,LaLiga,Loan
258,Hassane Bandé,Left Winger,19,"7,50 Mill. €",Burkina Faso,KV Mechelen,Proximus League,AFC Ajax,Eredivisie,"8,25 Mill. €"
259,Tomás Rincón,Defensive Midfield,30,"8,00 Mill. €",Venezuela,Juventus,Serie A,Torino,Serie A,"6,00 Mill. €"
260,Iván Marcano,Centre-Back,31,"8,00 Mill. €",Spain,FC Porto,Liga NOS,AS Roma,Serie A,Free Transfer
261,Samuel Gigot,Centre-Back,24,"6,00 Mill. €",France,KAA Gent,Jupiler Pro League,Spartak Moscow,Premier Liga,"8,00 Mill. €"
262,Adrien Thomasson,Left Midfield,24,"8,00 Mill. €",France,FC Nantes,Ligue 1,R. Strasbourg,Ligue 1,Free Transfer
263,Lukasz Fabianski,Goalkeeper,33,"5,00 Mill. €",Poland,Swansea,Championship,West Ham,Premier League,"8,00 Mill. €"
264,Aden Flint,Centre-Back,29,"5,00 Mill. €",England,Bristol City,Championship,Middlesbrough,Championship,"8,00 Mill. €"
265,Jean-Philippe Mateta,Centre-Forward,21,"2,50 Mill. €",France,Olympique Lyon,Ligue 1,1.FSV Mainz 05,1.Bundesliga,"8,00 Mill. €"
266,Omar Mascarell,Defensive Midfield,25,"8,00 Mill. €",Spain,E. Frankfurt,1.Bundesliga,Real Madrid,LaLiga,"4,00 Mill. €"
267,Gonzalo Castro,Central Midfield,31,"8,00 Mill. €",Germany,Bor. Dortmund,1.Bundesliga,VfB Stuttgart,1.Bundesliga,"5,00 Mill. €"
268,Jonathan Bamba,Left Winger,22,"8,00 Mill. €",France,Saint-Étienne,Ligue 1,LOSC Lille,Ligue 1,Free Transfer
269,Mattéo Guendouzi,Central Midfield,19,"2,50 Mill. €",France,FC Lorient,Ligue 2,Arsenal,Premier League,"8,00 Mill. €"
270,Christian Cueva,Attacking Midfield,26,"3,00 Mill. €",Peru,São Paulo,Série A,Krasnodar,Premier Liga,"8,00 Mill. €"
271,Bruno Peres,Right-Back,28,"8,00 Mill. €",Brazil,AS Roma,Serie A,São Paulo,Série A,"Loan fee:1,40 Mill. €"
272,Ignacio Pussetto,Right Winger,22,"7,00 Mill. €",Argentina,Huracán,Primera División,Udinese Calcio,Serie A,"8,00 Mill. €"
273,Cristiano Piccini,Right-Back,25,"7,50 Mill. €",Italy,Sporting CP,Liga NOS,Valencia CF,LaLiga,"8,00 Mill. €"
274,Chancel Mbemba,Centre-Back,24,"6,00 Mill. €",DR Congo,Newcastle,Premier League,FC Porto,Liga NOS,"8,00 Mill. €"
275,Sergi Gómez,Centre-Back,26,"8,00 Mill. €",Spain,Celta de Vigo,LaLiga,Sevilla FC,LaLiga,"5,00 Mill. €"
276,Mario Pasalic,Central Midfield,23,"8,00 Mill. €",Croatia,Chelsea,Premier League,Atalanta,Serie A,"Loan fee:1,00 Mill. €"
277,Fran Beltrán,Central Midfield,19,"2,00 Mill. €",Spain,Rayo Vallecano,LaLiga,Celta de Vigo,LaLiga,"8,00 Mill. €"
278,Jérôme Roussillon,Left-Back,25,"8,00 Mill. €",France,Montpellier,Ligue 1,VfL Wolfsburg,1.Bundesliga,"5,00 Mill. €"
279,Éder Militão,Right-Back,20,"8,00 Mill. €",Brazil,São Paulo,Série A,FC Porto,Liga NOS,"4,00 Mill. €"
280,Jordan Hugill,Centre-Forward,26,"8,00 Mill. €",England,West Ham,Premier League,Middlesbrough,Championship,Loan
281,Sam Clucas,Left Midfield,27,"8,00 Mill. €",England,Swansea,Championship,Stoke City,Championship,"6,70 Mill. €"
282,Federico Fernández,Centre-Back,29,"8,00 Mill. €",Argentina,Swansea,Championship,Newcastle,Premier League,"6,70 Mill. €"
283,Martín Montoya,Right-Back,27,"8,00 Mill. €",Spain,Valencia CF,LaLiga,Brighton,Premier League,"7,00 Mill. €"
284,Jordan Ayew,Centre-Forward,26,"8,00 Mill. €",Ghana,Swansea,Championship,Crystal Palace,Premier League,Loan
285,Danny Ings,Centre-Forward,26,"8,00 Mill. €",England,Liverpool,Premier League,Southampton,Premier League,Loan
286,Manuel Locatelli,Defensive Midfield,20,"8,00 Mill. €",Italy,AC Milan,Serie A,Sassuolo,Serie A,"Loan fee:2,00 Mill. €"
287,Denis Cheryshev,Left Winger,27,"8,00 Mill. €",Russia,Villarreal CF,LaLiga,Valencia CF,LaLiga,Loan
288,Nikola Vlasic,Attacking Midfield,20,"8,00 Mill. €",Croatia,Everton,Premier League,CSKA Moscow,Premier Liga,Loan
289,Enes Ünal,Centre-Forward,21,"8,00 Mill. €",Turkey,Villarreal CF,LaLiga,Real Valladolid,LaLiga,Loan
290,Anthony Limbombe,Left Midfield,24,"8,00 Mill. €",Belgium,Club Brugge,Jupiler Pro League,FC Nantes,Ligue 1,"8,00 Mill. €"
291,Stuart Armstrong,Central Midfield,26,"2,00 Mill. €",Scotland,Celtic,Premiership,Southampton,Premier League,"7,95 Mill. €"
292,Patrick Bamford,Centre-Forward,24,"4,00 Mill. €",England,Middlesbrough,Championship,Leeds,Championship,"7,90 Mill. €"
293,Omar Colley,Centre-Back,25,"5,00 Mill. €",The Gambia,KRC Genk,Jupiler Pro League,Sampdoria,Serie A,"7,75 Mill. €"
294,Marcel Tisserand,Centre-Back,25,"7,50 Mill. €",DR Congo,FC Ingolstadt,2.Bundesliga,VfL Wolfsburg,1.Bundesliga,"7,00 Mill. €"
295,Dominique Heintz,Centre-Back,25,"7,50 Mill. €",Germany,1. FC Köln,2.Bundesliga,SC Freiburg,1.Bundesliga,"3,00 Mill. €"
296,Ante Coric,Attacking Midfield,21,"7,50 Mill. €",Croatia,Dinamo Zagreb,1.HNL,AS Roma,Serie A,"6,00 Mill. €"
297,Vincenzo Grifo,Left Winger,25,"7,50 Mill. €",Italy,Bor. M'gladbach,1.Bundesliga,TSG Hoffenheim,1.Bundesliga,"5,50 Mill. €"
298,Okay Yokuslu,Defensive Midfield,24,"7,50 Mill. €",Turkey,Trabzonspor,Süper Lig,Celta de Vigo,LaLiga,"6,00 Mill. €"
299,Andrea Favilli,Centre-Forward,21,"4,00 Mill. €",Italy,Ascoli,Serie B,Juventus,Serie A,"7,50 Mill. €"
300,Federico Valietti,Right-Back,19,500 Th. €,Italy,Inter,Serie A,Genoa,Serie A,"7,50 Mill. €"
301,Pierre Kunde,Central Midfield,23,"2,00 Mill. €",Cameroon,Atlético Madrid,LaLiga,1.FSV Mainz 05,1.Bundesliga,"7,50 Mill. €"
302,Rubén Pérez,Defensive Midfield,29,"7,50 Mill. €",Spain,Granada CF,LaLiga2,CD Leganés,LaLiga,Free Transfer
303,Alberto Cerri,Centre-Forward,22,"7,50 Mill. €",Italy,Juventus,Serie A,Cagliari Calcio,Serie A,"Loan fee:1,00 Mill. €"
304,Lucas Pérez,Centre-Forward,29,"7,50 Mill. €",Spain,Arsenal,Premier League,West Ham,Premier League,"4,40 Mill. €"
305,Stefano Sturaro,Central Midfield,25,"7,50 Mill. €",Italy,Juventus,Serie A,Sporting CP,Liga NOS,Loan
306,Patrick Roberts,Right Winger,21,"7,50 Mill. €",England,Man City,Premier League,Girona FC,LaLiga,Loan
307,Roberto Soriano,Central Midfield,27,"7,50 Mill. €",Italy,Villarreal CF,LaLiga,Torino,Serie A,"Loan fee:1,00 Mill. €"
308,Emiliano Rigoni,Right Winger,25,"7,50 Mill. €",Argentina,Zenit S-Pb,Premier Liga,Atalanta,Serie A,"Loan fee:1,00 Mill. €"
309,Lukasz Teodorczyk,Centre-Forward,27,"7,50 Mill. €",Poland,RSC Anderlecht,Jupiler Pro League,Udinese Calcio,Serie A,"3,50 Mill. €"
310,Maxime Gonalons,Defensive Midfield,29,"7,50 Mill. €",France,AS Roma,Serie A,Sevilla FC,LaLiga,Loan
311,Sam Johnstone,Goalkeeper,25,"2,50 Mill. €",England,Man Utd,Premier League,West Brom,Championship,"7,35 Mill. €"
312,Oghenekaro Etebo,Central Midfield,22,"1,50 Mill. €",Nigeria,Feirense,Liga NOS,Stoke City,Championship,"7,20 Mill. €"
313,Fabio Borini,Left Winger,27,"7,00 Mill. €",Italy,Sunderland,League One,AC Milan,Serie A,"5,50 Mill. €"
314,Carlos Salcedo,Centre-Back,24,"7,00 Mill. €",Mexico,Chivas,Liga MX Apertura,E. Frankfurt,1.Bundesliga,"5,00 Mill. €"
315,Sung-yong Ki,Defensive Midfield,29,"7,00 Mill. €","Korea, South",Swansea,Championship,Newcastle,Premier League,Free Transfer
316,Ramadan Sobhi,Left Winger,21,"7,00 Mill. €",Egypt,Stoke City,Championship,Huddersfield,Premier League,"6,50 Mill. €"
317,Néstor Araujo,Centre-Back,27,"2,80 Mill. €",Mexico,Santos Laguna,Liga MX Apertura,Celta de Vigo,LaLiga,"7,00 Mill. €"
318,Max Gradel,Left Winger,30,"7,00 Mill. €",Cote d'Ivoire,Bournemouth,Premier League,Toulouse,Ligue 1,"2,00 Mill. €"
319,Roque Mesa,Central Midfield,29,"7,00 Mill. €",Spain,Swansea,Championship,Sevilla FC,LaLiga,"6,00 Mill. €"
320,Davide Bettella,Centre-Back,18,-,Italy,Inter,Serie A,Atalanta,Serie A,"7,00 Mill. €"
321,Daniel Didavi,Attacking Midfield,28,"7,00 Mill. €",Germany,VfL Wolfsburg,1.Bundesliga,VfB Stuttgart,1.Bundesliga,"4,00 Mill. €"
322,Naïm Sliti,Left Winger,26,"7,00 Mill. €",Tunisia,LOSC Lille,Ligue 1,Dijon,Ligue 1,"2,00 Mill. €"
323,Lucas Castro,Central Midfield,29,"7,00 Mill. €",Argentina,Chievo Verona,Serie A,Cagliari Calcio,Serie A,"6,50 Mill. €"
324,Paulinho,Attacking Midfield,24,"2,00 Mill. €",Brazil,Portimonense,Liga NOS,FC Porto,Liga NOS,"7,00 Mill. €"
325,Adam Masina,Left-Back,24,"7,00 Mill. €",Italy,Bologna,Serie A,Watford,Premier League,"5,00 Mill. €"
326,Tomas Vaclik,Goalkeeper,29,"4,00 Mill. €",Czech Republic,FC Basel,Super League,Sevilla FC,LaLiga,"7,00 Mill. €"
327,Federico Dimarco,Left-Back,20,"2,00 Mill. €",Italy,FC Sion,Super League,Inter,Serie A,"7,00 Mill. €"
328,Kevin-Prince Boateng,Central Midfield,31,"7,00 Mill. €",Ghana,E. Frankfurt,1.Bundesliga,Sassuolo,Serie A,Free Transfer
329,Éder,Second Striker,31,"7,00 Mill. €",Italy,Inter,Serie A,JS Suning,Super League,"5,70 Mill. €"
330,Gervinho,Left Winger,31,"7,00 Mill. €",Cote d'Ivoire,HB CFFC,Super League,C. Fortune Res.,C. Fortune Res.,-
331,Abel Hernández,Centre-Forward,28,"7,00 Mill. €",Uruguay,Hull City,Championship,CSKA Moscow,Premier Liga,Free Transfer
332,Lamine Koné,Centre-Back,29,"7,00 Mill. €",Cote d'Ivoire,Sunderland,League One,R. Strasbourg,Ligue 1,Loan
333,Edmílson Junior,Left Winger,24,"7,00 Mill. €",Brazil,Standard Liège,Jupiler Pro League,Al Duhail,Stars League,"6,00 Mill. €"
334,Kevin Mirallas,Right Winger,30,"7,00 Mill. €",Belgium,Everton,Premier League,Fiorentina,Serie A,Loan fee:500 Th. €
335,Harry Arter,Central Midfield,28,"7,00 Mill. €",Ireland,Bournemouth,Premier League,Cardiff,Premier League,Loan
336,Tim Fosu-Mensah,Right-Back,20,"7,00 Mill. €",Netherlands,Man Utd,Premier League,Fulham,Premier League,Loan
337,Romarinho,Centre-Forward,27,"4,00 Mill. €",Brazil,Al-Jazira,UAE Gulf League,Ittihad,Professional League,"7,00 Mill. €"
338,Alberto Grassi,Central Midfield,23,"7,00 Mill. €",Italy,SSC Napoli,Serie A,Parma,Serie A,"Loan fee:2,00 Mill. €"
339,Hamza Mendyl,Left-Back,20,600 Th. €,Morocco,LOSC Lille,Ligue 1,FC Schalke 04,1.Bundesliga,"7,00 Mill. €"
340,Gervinho,Left Winger,31,"7,00 Mill. €",Cote d'Ivoire,C. Fortune Res.,C. Fortune Res.,Parma,Serie A,Free Transfer
341,Nicolás Castillo,Centre-Forward,25,"4,00 Mill. €",Chile,UNAM Pumas,Liga MX Apertura,Benfica,Liga NOS,"6,85 Mill. €"
342,Lewis Grabban,Centre-Forward,30,"3,00 Mill. €",Jamaica,Bournemouth,Premier League,Nottm Forest,Championship,"6,80 Mill. €"
343,Joe Bryan,Left-Back,24,"5,00 Mill. €",England,Bristol City,Championship,Fulham,Premier League,"6,70 Mill. €"
344,Maycon,Central Midfield,21,"5,00 Mill. €",Brazil,Corinthians,Série A,Shakhtar D.,Premier Liga,"6,60 Mill. €"
345,Raphinha,Left Winger,21,"6,50 Mill. €",Brazil,Vit. Guimarães,Liga NOS,Sporting CP,Liga NOS,"6,50 Mill. €"
346,Riza Durmisi,Left-Back,24,"5,00 Mill. €",Denmark,Real Betis,LaLiga,Lazio,Serie A,"6,50 Mill. €"
347,Jordy Clasie,Defensive Midfield,27,"6,50 Mill. €",Netherlands,Southampton,Premier League,Feyenoord,Eredivisie,Loan
348,Ronaldo Vieira,Central Midfield,20,"2,00 Mill. €",England,Leeds,Championship,Sampdoria,Serie A,"6,50 Mill. €"
349,Vladyslav Supriaga,Centre-Forward,18,300 Th. €,Ukraine,SK Dnipro-1,Persha Liga 1,Dynamo Kyiv,Premier Liga,"6,50 Mill. €"
350,Pontus Wernbloom,Central Midfield,32,"6,50 Mill. €",Sweden,CSKA Moscow,Premier Liga,PAOK Saloniki,Super League,Free Transfer
351,Jason Denayer,Centre-Back,23,"3,00 Mill. €",Belgium,Man City,Premier League,Olympique Lyon,Ligue 1,"6,50 Mill. €"
352,Raúl Ruidíaz,Centre-Forward,28,"5,00 Mill. €",Peru,Morelia,Liga MX Apertura,Sounders FC	,MLS,"6,36 Mill. €"
353,Raphael Dwamena,Centre-Forward,22,"2,50 Mill. €",Ghana,FC Zürich,Super League,Levante UD,LaLiga,"6,20 Mill. €"
354,Dimitri Oberlin,Centre-Forward,20,"6,00 Mill. €",Switzerland,RB Salzburg,Bundesliga,FC Basel,Super League,"4,10 Mill. €"
355,Borna Sosa,Left-Back,20,"1,75 Mill. €",Croatia,Dinamo Zagreb,1.HNL,VfB Stuttgart,1.Bundesliga,"6,00 Mill. €"
356,Leonardo Bittencourt,Left Winger,24,"6,00 Mill. €",Germany,1. FC Köln,2.Bundesliga,TSG Hoffenheim,1.Bundesliga,"6,00 Mill. €"
357,Zakaria Labyad,Attacking Midfield,25,"6,00 Mill. €",Morocco,FC Utrecht,Eredivisie,AFC Ajax,Eredivisie,"6,00 Mill. €"
358,Uros Spajic,Centre-Back,25,"5,00 Mill. €",Serbia,RSC Anderlecht,Jupiler Pro League,Krasnodar,Premier Liga,"6,00 Mill. €"
359,Florin Andone,Centre-Forward,25,"6,00 Mill. €",Romania,Dep. La Coruña,LaLiga2,Brighton,Premier League,"6,00 Mill. €"
360,Christophe Hérelle,Centre-Back,26,"6,00 Mill. €",Martinique,Troyes,Ligue 2,OGC Nice,Ligue 1,"5,00 Mill. €"
361,Federico Santander,Centre-Forward,27,"2,00 Mill. €",Paraguay,FC Copenhagen,Superligaen,Bologna,Serie A,"6,00 Mill. €"
362,Walace,Defensive Midfield,23,"4,50 Mill. €",Brazil,Hamburger SV,2.Bundesliga,Hannover 96,1.Bundesliga,"6,00 Mill. €"
363,Majeed Waris,Centre-Forward,26,"2,50 Mill. €",Ghana,FC Lorient,Ligue 2,FC Porto,Liga NOS,"6,00 Mill. €"
364,Firmin Mubele,Centre-Forward,24,"6,00 Mill. €",DR Congo,Stade Rennais,Ligue 1,Toulouse,Ligue 1,"5,00 Mill. €"
365,William Bianda,Centre-Back,18,-,France,Lens,Ligue 2,AS Roma,Serie A,"6,00 Mill. €"
366,Federico Valverde,Central Midfield,20,"6,00 Mill. €",Uruguay,RM Castilla,2ª B - Grupo I,Real Madrid,LaLiga,-
367,Chidozie Awaziem,Centre-Back,21,"6,00 Mill. €",Nigeria,Porto B,Ledman Liga Pro,FC Porto,Liga NOS,-
368,Landry Dimata,Centre-Forward,20,"6,00 Mill. €",Belgium,VfL Wolfsburg,1.Bundesliga,RSC Anderlecht,Jupiler Pro League,Loan
369,Marco Sportiello,Goalkeeper,26,"6,00 Mill. €",Italy,Atalanta,Serie A,Frosinone,Serie A,Loan
370,Moussa Niakhaté,Centre-Back,22,"5,00 Mill. €",France,FC Metz,Ligue 2,1.FSV Mainz 05,1.Bundesliga,"6,00 Mill. €"
371,Ronaël Pierre-Gabriel,Right-Back,20,"4,00 Mill. €",France,Saint-Étienne,Ligue 1,Monaco,Ligue 1,"6,00 Mill. €"
372,André Horta,Central Midfield,21,"6,00 Mill. €",Portugal,Benfica,Liga NOS,Los Angeles FC,MLS,"5,70 Mill. €"
373,Jordan Rhodes,Centre-Forward,28,"6,00 Mill. €",Scotland,Sheff Wed,Championship,Norwich,Championship,Loan
374,Ayoub El Kaabi,Centre-Forward,25,"1,75 Mill. €",Morocco,RS Berkane,Botola Pro,HB CFFC,Super League,"6,00 Mill. €"
